tweet_id,time,text,retweet_count,favorite_count,reply_count,quote_count,language,keyword
1661928496338460672,2023-05-26 02:53:25,"#mdpibuildings #recommendedreading

Towards a Conceptual Framework of Using Technology to Support #Smart #Construction: The Case of Modular Integrated Construction (MiC), by Becky P.Y. Loo from The University of Hong Kong @HKUniversity, et al.

https://t.co/T61JGxQr97 https://t.co/2bAuN6MO0W",0,0,0,0,en,University of Hong Kong
1661930153591865344,2023-05-26 03:00:00,"Researchers from The Hong Kong Polytechnic University and The Chinese University of Hong Kong have jointly developed ABarginase, the first-in-class drug for treating multiple metabolic diseases related to obesity and insulin resistance like diabetes and fatty liver disease. https://t.co/v0Yni5Blcn",0,0,0,0,en,University of Hong Kong
1661967915808063488,2023-05-26 05:30:03,"📢 Happy to share our last paper where we tested the capabilities of AI techniques to predict wave-bridge interactions. This work resulted from a fruitful collaboration with the team of Pr You Dong from The Hong Kong Polytechnic University. 

https://t.co/XCD4O5LWK8",0,0,0,0,en,University of Hong Kong
1661975945677533184,2023-05-26 06:01:58,Partner Nathan Wong has been invited to deliver a #seminar at The #Education #University of #HongKong to #students who aspire to be #teachersabout the foundation of Hong Kong’s robust #legal #system and #commitment to the #ruleoflaw and #protection of #rights and #interests. #HK https://t.co/DzgsZpzb4w,0,0,0,0,en,University of Hong Kong
1661977405794451458,2023-05-26 06:07:46,@paulbam3 @ArtistAffame @AngelComrade Yes you probably did live through that downturn so you know how bad it was. I chose commerce majoring economics and got a management job in Hong Kong out of university.,0,0,1,0,en,University of Hong Kong
1661983059808337922,2023-05-26 06:30:14,"How did the Chinese Communist Party develop from a small reading group to the world's second largest political party?

Join us for the Crafts Lecture delivered by James Kung (University of Hong Kong).

15 June, 17:00 (UK). In person &amp; online.

Register: https://t.co/cT44bNrRuz",0,0,0,0,en,University of Hong Kong
1661988087877234688,2023-05-26 06:50:13,"The #HongKong Special Administrative Region is expected to #fund a record number of youngsters to study in universities on the Chinese mainland. It's estimated that about 4,500 #students will benefit from the plan this academic year, with total funding reaching HK$63 million. https://t.co/T88WRkFQ6Z",0,0,1,0,en,University of Hong Kong
1662005657527255042,2023-05-26 08:00:01,Sign up! LUNCHTIME TODAY!  The Charity Law and Policy Unit will host Dr  Hui Jing from the University of Hong Kong as part of the online Charity  Briefs Series: https://t.co/3AXPC5KdmE @JohnPicton5 @Shilts88 @academicbarzo https://t.co/29cOmjTsx6,1,2,0,0,en,University of Hong Kong
1662005748870643712,2023-05-26 08:00:23,"Excellent teamwork! The #ChongqingUniversity team won the second prize in the final competition of the 2023 National Chinese Culture Knowledge Competition for College Students in Hong Kong, Macau and Taiwan, which was held at Fudan University on May 21. @FudanUniv https://t.co/GlMAQbu0Hy",0,0,0,0,en,University of Hong Kong
1662006662776123398,2023-05-26 08:04:01,"The 2023 3rd International Conference on Industrial Automation, Robotics and Control Engineering (IARCE 2023), organized by Southwest Jiaotong University, Beijing University of Posts and Telecommunications, which will be held in Chengdu, China on October 27-30, 2023. https://t.co/su4iL9CdRC",0,0,0,0,en,University of Hong Kong
1662017042818519040,2023-05-26 08:45:16,"@PrisonPlanet From what I understand - 200,000 of that is from ukraine and hong kong. Wich most people feel a moral duty burden. Although there shouldnt be any war in the ukraine in the first place. 
I think 300 000 is foreign students paying the universities big money. Perhaps we should tax",0,0,1,0,en,University of Hong Kong
1662026362625089536,2023-05-26 09:22:18,@AngelaZhangHK @WSJ You don’t even teach at a real university. And there is no such thing as Chinese law. It’s just the whim of the CCP. Case in point - the disappearance of the rule of law in Hong Kong.,0,0,1,0,en,University of Hong Kong
1662054278528217090,2023-05-26 11:13:14,"Today we are introducing ‘Disseminating and Containing Communist Propaganda to Overseas Chinese in Southeast Asia through Hong Kong, the Cold War Pivot, 1949–1960’ by Florence Mok, Department of History, Nanyang Technological University, Singapore.

https://t.co/peo65j16BH https://t.co/KtknrIw8vh",0,0,1,0,en,University of Hong Kong
1662054365115424768,2023-05-26 11:13:34,"Image courtesy of President and Fellows of Harvard College and Historical Photographs of China, University of Bristol
https://t.co/FiQ82fNLyb",0,0,0,0,en,University of Hong Kong
1662081258145427457,2023-05-26 13:00:26,"We are so excited for our upcoming event in Hong Kong - our first @Uni_EssexAlumni event here since 2018.

Our Vice-Chancellor @Forster_Anthony is looking forward to catching up with our alumni and sharing news from Essex. 

Register your place: https://t.co/HCOKMNiiD5 https://t.co/cYwVjN94YS",0,1,0,0,en,University of Hong Kong
